,盘面,,,Desp_invite_cover,缓缓，来解锁西班牙神曲的热情浪漫！,碎片獲取方式：完成指定任務、任意歌曲首次挑戰到3星、幸運轉盤。,How to get: Finish assignments. play a random song to 3 stars for first try and Jackpot.,Forma para conseguir las piezas de musica: completar las misiones designadas. ganar tres estrellas en cualquer canción. giratorio afortunada,Как получить осколки: выполните определенное задание. наберите три звезды в любой песне. играйте в колесо удачи.,Como pegar peças: Completar as tarefas determinadas. desafiar qualquer música até alcançar 3 estrelas pela primeira vez. girar a roleta de sorte.,Wie man Puzzle sammelt:Bestimmte Aufgabe erfüllen.Irgendein Lied bis zum 3 Stern spielen.Glücksrad.,"조각 획득 방법:지정한  퀘스트를 완료하고 임의의 음악을 별3 도전 성공, 행운의 룰렛 돌리기",かけらの獲得方法：指定のミッションをクリア、任意の曲を星３に挑戦、ラッキールーレット。,Comment collecter : Finir les missions désignées et jouer tout morceau à 3 étoiles au 1er essai et jackpot.,Metodo di acquisizione dei pezzi: completa l'attività specificata. sfida qualsiasi canzone per la prima volta a 3 stelle. carosello fortunato.,أسلوب الحصول على القطع: إكمال المهمة المحددة، تحدي أي أغنية إلى 3 نجوم في أول مرة، القرص الدوار المحظوظ,Parçalar nasıl alınabilir: Belirtilen görevi tamamlanması. ilk kez herhangi bir şarkıya 3 yıldız alınabilmesi. Çarkıfelek.,Cara mendapatkan penggalan:Selesaikan misi tertentu.main lagu apa saja sampai bintang 3 pertama kali dan Lucky of Wheel.,,
道具商店,满足兑换条件弹窗提示,,,JS_invite_text1,是否消耗%1$d个碎片立即解锁歌曲？,是否消耗%1$d個碎片立即解鎖歌曲？,Do you want to use %1$d fragments to unlock the song now?,¿Quiere desbloquear la canción con %1$d piezas?,Использовать %1$d осколков. чтобы разблокировать песню?,Queria usar %1$d peças para desbloquear imediatamente a música?,Willst du mit %1$d Puzzle das Lied sofort freischalten?,%1$d개의 조각을 소모하여 음악을 해금하시겠습니까?,%1$d個かけらを使って、曲をアンロックしますか？,Voudriez-vous utiliser %1$d pièces pour débloquer le morceau tout de suite ?,Consumi %1$d pezzi per sbloccare immediatamente la canzone?,هل تريد استخدام %1$d قطعة لفتح الأغنية؟,Şarkının kilidini hemen açmak için%1$d parça tüketmek ister misiniz?,Yakin pakai %1$ penggalan buka kunci lagu sekarang?,,
,限时礼包,入口icon,,xslb_button,特惠,特惠,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,,
,商店,主页按钮,,newshop_button,商店,商店,Store,Tienda,Маркет,Loja,Store,상점,ショップ,Magasin,Negozio,متجر,Mağaza,Toko,,
,,10美元礼包,,newshop_box1,新手礼包,新手禮包,Starter Package,Pack Principiante,Подарок новичка,Pacote para novatos,Box für Anfänger,초보자 팩,新人プレゼント,Paquet de novice,Pacchetto regalo Novizio,حزمة الهدية للاعبين جدد,Acemi hediye paketi,Paket pemula,,
,,30美元礼包,,newshop_box2,高手礼包,高手禮包,Master Package,Pack Maestro,Подарок профессионала,Pacote para mestres,Box für Master,상급자 팩,ベテランプレゼント,Paquet de master,Pacchetto regalo master,حزمة الهدية للاعبين محترفين,Usta hediye paketi,Paket master,,
,,不足抵扣弹窗标题,,more_diamond_title,钻石购买,鑽石購買,Buy diamonds,comprar diamantes,Купить алмазами,Comprar com diamantes,Diamanten kaufen,보석 구매,ダイヤモンド購入,Acheter avec diamants,Acquista con diamanti,الشراء بالألماس,Elmas ile satın alın,Beli diamond,,
,,tab按钮,,newshop_tab,道具,道具,Props,Props,Реквизит,Itens,Requisiten,아이템,道具,Outils,Materiale scenico,آلة,Alet,Tools,,
,,tab按钮,,newshop_tab1,礼包,禮包,Package,paquete de regalo,Подарок,Pacote,Geschenkbox,패키지,プレゼント,Paquet,Pacchetto regalo,حزمة الهدية,Hediye paketi,Paket,,
,,购买按钮,,Now_purchase,现在购买,現在購買,Buy now,Comprar ahorita,Купить сейчас,Comprar agora,Jetzt kaufen,지금 바로 구매,今すぐ購入,Acheter maintenant,Acquista ora,الشراء فورا,Şimdi satın alın,Beli sekarang,,
,,道具-礼包标题,,newshop_title1,超值礼包,超值禮包,Surprise package,suepr paquete de regalo,Выгодный подарок,Pacote superior,Superbox,프리미엄 패키지,お得パッケージ,Paquet surpris,Pacchetto super valore,حزمة الهدية ذات القيمة,Süper değerli paketi,Paket super value,,
,,道具-道具标题,,newshop_title2,精品道具,精品道具,Selected props,props selecta,Уникальный реквизит,Itens selecionados,Feine Requisiten,프리미엄 아이템,セレクト道具,Outils sublimes,Materiale scenico selezionato,آلة رائعة,Seçilmiş aletler,Tools terpilih,,
三周年版本,开屏页,,,3th_activity_title1,钢琴块2三周岁啦！点击开始即获%1$d张活动门票，来音乐星球畅游吧！,鋼琴塊2三周歲啦！點擊開始即獲%1$d張活動門票，來音樂星球暢遊吧！,3rd anniversary of Piano Tiles 2! Click to start and get %1$d tickets. Begin your travel in music planet!,"¡Tercer aniversario de Pianos Tiles 2! ¡Clik Empezar para obtener las %1$d entredas, Disfrútate en la Planeta de Música!","Плиткам фортепиано 2 исполнилось три года! Нажмите ""Начать"" и получите %1$d билета на мероприятие, путешествуйте по музыкальной планете!",O Piano Tiles 2 já faz 3 anos! Clique em Começar para obter %1$d ingressos do evento e viajar na planeta de músicas!,Piano Tiles 2 wird 2 Jahre alt! Mit einem Klick erhältst du %1$d Tickets. Jetzt die Musik-Welt erleben!,피아노 타일2 3주년! 시작을 클릭하여 이벤트 티켓 %1$d장을 수령하세요! 음악의 세계를 즐겨보아요!,ピアノタイル２が三周年ありがとうございます。スタートをタップしてイベントチケット%1$d枚ゲットしよう、音楽で世界一周しましょう！,Le 3ième anniversaire de Piano Tiles 2 ! Commencer le jeu pour gagner %1$d tickets d'événement et profiter du voyage en planète de musique !,"PianoTiles 2 ha tre anni! Clicca Inzia per ottenere %1$d biglietti dell' evento, vieni a viaggiare nel pianeta musicale!",الذكرى السنوية الثالثة لبيانو تايلز 2! أضغط البداية للحصول على %1$d تذاكر الفعالية للقيام بالرحلة الموسيقية!,Piano Tiles 2 şimdi %1$d yaşında! Müzik gezegenine üç etkinlik bileti almak için başlamaya tıklayın!,"Ulang Tahun ke-3 Piano tiles!Klik mulai dapaykan %1$d tiket event,terjun ke dunia musik!",,
,活动页说明,,,3th_activity_title2,三周年生日快乐！,三周年生日快樂！,Happy 3rd Anniversary!,¡Feliz tercer aniversario!,С третьей годовщиной!,Feliz 3º Aniversário!,Alles Gute zum 3. Geburtstag!,3주년 생일 축하!,三周年おめでとうございます！,Joyeux anniversaire !,Buon compleanno al terzo anniversario!,عيد ميلاد سعيد للذكرى السنوية الثالثة!,Üçüncü yıldönümüne kutlu olsun!,Selamat ulang tahun ke-3!,,
,盘面主题,,,Disc_name22,三周年活动,三周年活動,3rd Anniversary Event,Actividades de tercer aniversario,Мероприятие третьей годовщины,Evento do 3º Aniversário,Aktivität zum 3. Jubilaum,3주년 이벤트,三周年イベント,Evénement de 3ième anniversaire,Evento del terzo anniversario,فعالية الذكرى السنوية الثالثة,Üçüncü yıldönümü etkinliği,Event ulang tahun ke-3,,
,盘面说明,,,3th_invite_cover,童心筑梦，钢琴块2三周年感恩有你！,童心築夢，鋼琴塊2三周年感恩有妳！,Build your dream with joyful heart. Great appreciations for all your support to Piano Tiles 2 in these 3 years!,¡Pianos Tiles 2 te agradece siempre contigo!,"Мечты создаются из детского воображения, Плитки фортепиано 2 благодарны вам за то, что вы есть!",É a realização de um sonho fantástico! Agradecemos pelo seu apoio ao 3º Aniversário do Piano Tiles 2!,Besten Dank für die Begleitung in den letzten drei Jahren!,"동심의 꿈, 피아노 타일2 3주년, 당신께 감사 드립니다",おわらぬ夢の旅、ピアノタイル２はあなたと共に！,Cultiver votre rêve ! Grand remerciement pour vos supports dans les 3 années passées !,"Sogni infantili, il terzo anniversario delPianoTiles 2, grazie a te!",نشكركم شكرا جزيلا!,"Çocukluğunuzla hayalleriniz kurulmuştu, Piano Tiles 2'nin üçüncü yıldönümü sizlerle beraber!","Buat mimpi dengan hati anak,terima kasih atas temanan Anda selama ini!",,
,,,,album_hot,热门专辑,熱門專輯,Hot albums,Discos populares,Популярные альбомы,Álbum popular,Populäre Alben,인기 앨범,人気アルバム,Albums hit,Album popolare,ألبومات ساخنة,Popüler albüm,Album Hot,,
,,,,newshop_tab3,专辑,專輯,Album,Discos,Альбом,Álbum,Album,앨범,アルバム,Albums,Album,ألبوم,Albüm,Album,,
,,,,album_3th1,三周年专辑I,三周年專輯I,3rd Anniversary Album I,Disco I del tercer aniversario,Альбом в честь третьей годовщины I,Álbum do 3º Aniversário I,Album zum 3. Jubilaum I,3주년 앨범I,三周年アルバムⅠ,Album I du 3ième anniversaire,Album I del terzo anniversario,الألبوم الأول للذكرى السنوية الثالثة,Üçüncü Yıl Dönümü Albümü I,Album Ulang Tahun ke-3 I,,
,,,,album_3th2,三周年专辑II,三周年專輯II,3rd Anniversary Album II,Disco II del tercer aniversario,Альбом в честь третьей годовщины II,Álbum do 3º Aniversário II,Album zum 3. Jubilaum II,3주년 앨범II,三周年アルバムⅡ,Album II du 3ième anniversaire,Album II del terzo anniversario,الألبوم الثاني للذكرى السنوية الثالثة,Üçüncü Yıl Dönümü Albümü II,Album Ulang Tahun ke-3 II,,
,,,,album_3th1_subtitle1,初心不改，三年再出发！,初心不改，三年再出發！,We have never changed our dream. A new travel 3 years later!,"¡Mantenga la determinación inicial en mente, marcha en tercer año!","Не изменяя своему сердцу, спустя три года отправляемся в новое путешествие!",Permanecer sincero à nossa aspiração e começar de novo depois de 3 anos!,Eine neue Welt in Piano Tiles 2 entdecken!,"초심을 잃지 않고, 3주년 다시 출발!",初心を忘れず、再発進！,Le but n'est jamais changé chez nous. Recommençons le voyage après 3 années !,"Cuore originale invariato, ripartiamo nel terzo anno!",نحفظ على نيتنا الأصلية ونتقدم إلى الأمام باستمرار!,"Fikrimi değiştirmiyorum, üç yıl olunca tekrar ayrılacağım!","Hati pertama belum diubah,berangkat lagi setelah 3 tahun!",,
,,,,album_wei2,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,Wei II,,
,,,,album_wei2_subtitle,钢琴块2音乐制作人原创专辑,鋼琴塊2音樂製作人原創專輯,Original album from PT2's music producer,Discos originales de los Productores Musicales de Piano Tiles 2 ,Альбом авторских песен от музыкальных композиторов Плиток фортепиано 2,Álbum original do produtor das músicas do Piano Tiles 2,Piano Tiles 2 Album vom Musikproduzenten,PT2 음악 프로듀서 자체 제작 앨범,ピアノタイル２プロデューサーオリジナルアルバル,Album original du créateur musical de PT2,Album originale del produttore musicale del PianoTiles 2,الألبوم الأصلي للمنتج الموسيقي لبيانو تايلز 2,Original album from PT2's music producer,Album original pencipta musik Piano Tiles 2,,
